,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
118,6,3.63e-11,3.45e+11,4.38e+12,-12.52451314,99637011354.0,4.68e+12,0.121458684,-178.4690852,3.03e+11,0.878541316,m_14,-0.088405759
119,7,8.94e-13,3.45e+11,4.38e+12,-0.308750065,99637011344.0,4.68e+12,0.121458684,-4.399560909,3.03e+11,0.878541316,m_14,-0.088405759
120,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.181021923
121,1,0.010278031,3.45e+11,4.35e+12,-3547800424.0,80322246775.0,4.61e+12,0.238431564,-46883292343.0,2.63e+11,0.761568436,m_14,-0.181021923
122,2,0.000242303,3.45e+11,4.35e+12,-83638746.65,78203092277.0,4.61e+12,0.247228694,-980722413.7,2.6e+11,0.752771306,m_14,-0.181021923
123,3,5.41e-06,3.45e+11,4.35e+12,-1867720.608,78147249830.0,4.61e+12,0.247419873,-21565892.71,2.6e+11,0.752580127,m_14,-0.181021923
124,4,1.2e-07,3.45e+11,4.35e+12,-41410.26865,78146024210.0,4.61e+12,0.247424098,-475595.1983,2.6e+11,0.752575902,m_14,-0.181021923
125,5,2.65e-09,3.45e+11,4.35e+12,-915.7598101,78145997123.0,4.61e+12,0.247424192,-10493.74454,2.6e+11,0.752575808,m_14,-0.181021923
126,6,5.86e-11,3.45e+11,4.35e+12,-20.22927755,78145996524.0,4.61e+12,0.247424194,-231.5839202,2.6e+11,0.752575806,m_14,-0.181021923
127,7,1.29e-12,3.45e+11,4.35e+12,-0.446658352,78145996511.0,4.61e+12,0.247424194,-5.11119525,2.6e+11,0.752575806,m_14,-0.181021923
128,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.529457269
129,1,0.248324758,3.45e+11,3.26e+12,-85717461106.0,19106365165.0,3.44e+12,0.471402405,-1.18e+12,1.82e+11,0.528597595,m_14,-0.529457269
130,2,0.072249529,3.45e+11,2.93e+12,-24939302237.0,6930170095.0,3.07e+12,0.59390527,-3.3e+11,1.4e+11,0.40609473,m_14,-0.529457269
131,3,0.024779545,3.45e+11,2.81e+12,-8553475337.0,4793262289.0,2.95e+12,0.620019245,-1.13e+11,1.31e+11,0.379980755,m_14,-0.529457269
132,4,0.008226103,3.45e+11,2.78e+12,-2839509979.0,4709299031.0,2.91e+12,0.628705571,-37368619214.0,1.28e+11,0.371294429,m_14,-0.529457269
133,5,0.002722977,3.45e+11,2.76e+12,-939925170.4,4691274853.0,2.89e+12,0.631519123,-12352777054.0,1.27e+11,0.368480877,m_14,-0.529457269
